,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
12019,41783342,1,2.0,6.0,93.0,5.02,4.44,21.5,1.0,1.3,99.2,91.7,5.2,,1290,53.17,7.86,POINT (7.86 53.17)
12020,41783288,12,9.0,21.0,70.0,4.85,4.48,116.3,3.0,6.4,58.9,267.7,16.8,,1350,52.68,7.89,POINT (7.89 52.68)
12021,41783270,4,5.0,78.0,17.0,6.27,5.7,12.7,0.0,1.2,95.0,314.7,5.6,,2684,52.52,7.89,POINT (7.89 52.52)
12022,41783248,2,7.0,24.0,68.0,5.49,5.31,83.6,1.0,6.1,24.5,31.1,22.6,,2677,52.32,7.9,POINT (7.9 52.32)
12023,41783240,6,10.0,19.0,71.0,6.09,5.61,15.3,0.0,1.5,33.2,51.8,3.2,,2674,52.25,7.91,POINT (7.91 52.25)
12024,41783222,1,3.0,5.0,92.0,5.67,5.05,16.3,0.0,1.2,46.1,49.2,4.9,,2667,52.09,7.91,POINT (7.91 52.09)
12025,41783204,5,14.0,22.0,63.0,6.59,6.3,9.6,1.0,1.1,70.5,140.4,10.5,,1875,51.93,7.92,POINT (7.92 51.93)
12026,41783068,15,25.0,48.0,27.0,5.17,4.59,50.5,0.0,4.9,23.8,147.0,8.3,,2854,50.71,7.98,POINT (7.98 50.71)
12027,41783032,8,16.0,68.0,16.0,7.2,6.66,14.3,4.0,1.5,48.2,204.2,12.4,,2427,50.38,7.99,POINT (7.99 50.38)
12028,41782888,4,21.0,74.0,5.0,7.64,7.3,13.7,60.0,1.6,46.8,375.0,16.6,,1633,49.09,8.04,POINT (8.039999999999999 49.09)
12029,41782772,10,19.0,24.0,57.0,4.66,4.48,58.9,1.0,5.2,39.9,108.1,6.0,,3083,48.04,8.08,POINT (8.08 48.04)
12032,41763388,5,41.0,46.0,12.0,6.0,5.09,50.7,0.0,4.5,58.0,241.3,24.1,,1288,53.58,7.81,POINT (7.81 53.58)
12033,41763334,1,3.0,10.0,88.0,5.42,4.69,37.8,0.0,1.8,140.2,34.0,7.9,,1320,53.09,7.84,POINT (7.84 53.09)
12034,41763268,6,20.0,33.0,47.0,5.23,4.65,19.3,0.0,2.0,22.3,472.1,14.4,,2685,52.5,7.86,POINT (7.86 52.5)
12035,41763196,2,12.0,14.0,74.0,6.25,5.62,12.4,0.0,1.5,10.2,176.2,9.2,,1876,51.86,7.9,POINT (7.9 51.86)
12036,41763142,34,26.0,54.0,20.0,6.38,5.74,18.6,2.0,2.0,49.0,264.2,13.2,,1912,51.37,7.92,POINT (7.92 51.37)
12037,41763136,4,20.0,56.0,24.0,3.94,3.35,84.4,2.0,2.9,18.6,47.8,17.9,,1914,51.32,7.92,POINT (7.92 51.32)
12038,41763118,25,16.0,62.0,22.0,5.31,4.63,27.3,1.0,2.8,22.4,63.1,8.4,,1915,51.15,7.93,POINT (7.93 51.15)
12041,41743306,2,3.0,14.0,83.0,5.68,5.13,20.5,0.0,1.4,107.4,115.4,4.7,,1347,52.84,7.82,POINT (7.82 52.84)
12042,41743302,6,7.0,22.0,71.0,4.87,4.61,77.4,1.0,3.9,64.1,48.8,13.2,,1348,52.81,7.82,POINT (7.82 52.81)
