,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params
39,0.18313873020317484,0.17443846700058407,0.010856878539818204,0.266609145608245,0.20630421819679667,0.16827795558756742,0.0850120566704234,15,54.49474105834961,19.338477975810935,0.28951325416564944,0.08539619206491302,mse,4,298,1,2,885,"OrderedDict([('criterion', 'mse'), ('max_depth', 4), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 885)])"
40,0.11667206663219187,0.042943384685825814,-0.00632792824566808,0.10677325945187222,0.09178847316857541,0.07039621914282689,0.04596239101550261,43,1.6457215309143067,0.5503982404098531,0.10771803855895996,0.006803887172189902,mse,1,298,1,2,100,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 298), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])"
41,0.19773606854033532,0.2002385751579432,0.06428691572428635,0.26807274109392,0.21881946168426347,0.1898352543285894,0.06764815727684603,3,3.3098223209381104,1.110584486486157,0.10877094268798829,0.011612130567389517,mse,15,24,1,45,235,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 24), ('min_samples_leaf', 1), ('min_samples_split', 45), ('n_estimators', 235)])"
42,0.2020495734581479,0.1828961908457568,0.05215564542831064,0.2771059016529085,0.22776245507021353,0.18840172984013756,0.0750756146755671,4,10.528580284118652,3.6131458513369723,0.17069544792175292,0.056032162590978644,mse,15,31,1,31,532,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 31), ('min_samples_leaf', 1), ('min_samples_split', 31), ('n_estimators', 532)])"
43,0.12229002809694522,0.1136150959822243,0.022808649555332794,0.09779641667169092,0.13567216796792492,0.09845005568468816,0.03975669512228611,35,13.400619173049927,4.65378578722159,0.27944507598876955,0.08618313498950508,mse,1,230,76,2,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 230), ('min_samples_leaf', 76), ('min_samples_split', 2), ('n_estimators', 1000)])"
44,0.19610165222893172,0.16151696963142725,0.037421089550839004,0.2936991493824964,0.20476741912187868,0.17871116509259402,0.08299801868681234,9,46.065148973464964,16.103194228887325,0.2907847881317139,0.0730013258900862,mse,15,73,1,23,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 73), ('min_samples_leaf', 1), ('min_samples_split', 23), ('n_estimators', 1000)])"
45,0.12343346236116581,0.09674839197651441,0.01748974360659228,0.09032980683467207,0.14936677744715,0.09548955889733506,0.044254808204786,38,14.344754934310913,4.869213117160055,0.2656818389892578,0.0755035322605367,mse,1,252,100,100,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 1), ('max_features', 252), ('min_samples_leaf', 100), ('min_samples_split', 100), ('n_estimators', 1000)])"
46,0.1981069117668317,0.17130290380609003,0.043072527785789405,0.28104383527778676,0.21336873433554326,0.18138850874997342,0.07803832377838896,7,28.85878629684448,10.021981354270597,0.3163596153259277,0.058024155485595426,mse,15,45,1,31,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 45), ('min_samples_leaf', 1), ('min_samples_split', 31), ('n_estimators', 1000)])"
47,0.1906731762568853,0.21566697555895153,0.08718815354099385,0.21136918221218892,0.20560253907207748,0.18210488754401022,0.04818951630741248,6,16.83363285064697,5.486368509717408,0.32463822364807127,0.06688033272957983,mse,15,52,34,47,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 52), ('min_samples_leaf', 34), ('min_samples_split', 47), ('n_estimators', 1000)])"
48,0.18725311528151478,0.17412147737882222,0.03408499959564326,0.31843447876881315,0.19936396309005133,0.18265422727197725,0.09039805719264489,5,60.3408926486969,21.137761366919616,0.3602169036865234,0.0758772048618696,mse,11,111,1,2,1000,"OrderedDict([('criterion', 'mse'), ('max_depth', 11), ('max_features', 111), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1000)])"
49,0.15739753101528553,0.14154936943418928,0.03568381191903969,0.30974755941018617,0.20052333095818842,0.16897372442577638,0.08881763539970838,14,8.287313508987427,2.918808059898498,0.1040201187133789,0.0012953598280832288,mse,15,120,1,2,100,"OrderedDict([('criterion', 'mse'), ('max_depth', 15), ('max_features', 120), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 100)])"
